ProductTypeCode#ProductTypeName#DisplayOrder#ProductTypeSynonym#ProductGroup#ProductGroupName#ProductGroupOrder#PreferredLayer
p01.a#Paddy rice#0#C_PARI#p01.a#Paddy rice#0#Mass
p01.b#Wheat#1#C_WHEA#p01.b#Wheat#1#Mass
p01.c#Cereal grains nec#2#C_OCER#p01.c#Cereal grains nec#2#Mass
p01.d#Vegetables, fruit, nuts#3#C_FVEG#p01.d#Vegetables, fruit, nuts#3#Mass
p01.e#Oil seeds#4#C_OILS#p01.e#Oil seeds#4#Mass
p01.f#Sugar cane, sugar beet#5#C_SUGB#p01.f#Sugar cane, sugar beet#5#Mass
p01.g#Plant-based fibers#6#C_FIBR#p01.g#Plant-based fibers#6#Mass
p01.h#Crops nec#7#C_OTCR#p01.h#Crops nec#7#Mass
p01.i#Cattle#8#C_CATL#p01.i#Cattle#8#Mass
p01.j#Pigs#9#C_PIGS#p01.j#Pigs#9#Mass
p01.k#Poultry#10#C_PLTR#p01.k#Poultry#10#Mass
p01.l#Meat animals nec#11#C_OMEA#p01.l#Meat animals nec#11#Mass
p01.m#Animal products nec#12#C_OANP#p01.m#Animal products nec#12#Mass
p01.n#Raw milk#13#C_MILK#p01.n#Raw milk#13#Mass
p01.o#Wool, silk-worm cocoons#14#C_WOOL#p01.o#Wool, silk-worm cocoons#14#Mass
p01.w.1#Manure (conventional treatment)#15#C_MANC#p01.w.1#Manure (conventional treatment)#15#Mass
p01.w.2#Manure (biogas treatment)#16#C_MANB#p01.w.2#Manure (biogas treatment)#16#Mass
p02#Products of forestry, logging and related services#17#C_FORE#p02#Products of forestry, logging and related services#17#Mass
p05#Fish and other fishing products; services incidental of fishing#18#C_FISH#p05#Fish and other fishing products; services incidental of fishing#18#Mass
p10.a#Anthracite#19#C_ANTH#p10#Coal and lignite; peat#19#Mass
p10.b#Coking Coal#20#C_COKC#p10#Coal and lignite; peat#19#Mass
p10.c#Other Bituminous Coal#21#C_OTBC#p10#Coal and lignite; peat#19#Mass
p10.d#Sub-Bituminous Coal#22#C_SUBC#p10#Coal and lignite; peat#19#Mass
p10.e#Patent Fuel#23#C_PATF#p10#Coal and lignite; peat#19#Mass
p10.f#Lignite/Brown Coal#24#C_LIBC#p10#Coal and lignite; peat#19#Mass
